ResponseId	Moral_DIL	Age_correct	Attention_check	CCA	Duration	Heure_TOT	AOT_TOT	Narc_TOT	Mach_TOT	Psych_TOT	CRT_TOT	Num_TOT	Outcome	Study	Duration.min	Moral_SCA	Moral_CAR	SleepEfficiency.criteria
1_S1	50	1	1	1	228	10.9666666666667	32	25	9	13	0	1	Dilemmas	1	200			
2_S1	82.01	1	1	1	264	12	37	16	23	11	6	3	Dilemmas	1	200			
3_S1	73.22	1	1	1	292	11.9833333333333	39	20	33	21	7	3	Dilemmas	1	200			
4_S1	86.99	1	1	1	348	9.01666666666667	34	18	26	23	7	3	Dilemmas	1	200			
5_S1	103.32	1	1	1	293	9	25	32	37	31	1	0	Dilemmas	1	200			
6_S1	68.39	1	1	1	132	12.0166666666667	26	10	22	13	1	0	Dilemmas	1	200			
7_S1	52.21	1	1	1	133	11	22	31	30	23	6	1	Dilemmas	1	200			
8_S1	35.5	1	1	1	234	12.0166666666667	25	24	32	21	5	3	Dilemmas	1	200			
9_S1	51.87	1	1	1	395	9.01666666666667	32	24	37	25	5	2	Dilemmas	1	200			
10_S1	95.26	1	1	1	343	9.03333333333333	36	25	38	21	0	2	Dilemmas	1	200			
11_S1	62.73	1	1	1	532	12.05	35	26	30	22	7	3	Dilemmas	1	200			
12_S1	4.88	1	1	1	231	12.05	35	16	17	15	7	2	Dilemmas	1	200			
13_S1	2.01	1	1	1	339	12.0666666666667	35	22	26	17	7	2	Dilemmas	1	200			
14_S1	10.02	1	1	1	658	12.0833333333333	29	30	34	22	1	2	Dilemmas	1	200			
15_S1	50.47	1	1	1	640	9.06666666666667	39	20	22	16	7	3	Dilemmas	1	200			
16_S1	6.85	1	1	1	266	11	33	28	24	12	7	3	Dilemmas	1	200			
17_S1	42.85	1	1	1	447	9	26	25	26	20	2	2	Dilemmas	1	200			
19_S1	68.6	1	1	1	652	9	22	27	28	27	2	1	Dilemmas	1	200			
20_S1	80	1	1	1	246	9.11666666666667	33	27	34	22	7	2	Dilemmas	1	200			
21_S1	48.1	1	1	1	396	12.1166666666667	35	14	15	11	7	3	Dilemmas	1	200			
23_S1	30	1	1	1	443	12.1333333333333	38	9	9	13	7	3	Dilemmas	1	200			
24_S1	0	1	1	1	747	11.1333333333333	22	13	25	16	7	3	Dilemmas	1	200			
25_S1	94.4	1	1	1	382	11	24	31	30	29	1	0	Dilemmas	1	200			
26_S1	12.69	1	1	1	688	10.1666666666667	27	19	19	20	7	3	Dilemmas	1	200			
27_S1	70.27	1	1	1	301	12.1666666666667	26	11	25	23	3	3	Dilemmas	1	200			
28_S1	42.02	1	1	1	398	12	35	18	23	18	3	3	Dilemmas	1	200			
29_S1	84.62	1	1	1	1019	11.2333333333333	29	22	30	24	1	1	Dilemmas	1	200			
30_S1	24.67	1	1	1	416	11.1833333333333	27	25	31	22	4	2	Dilemmas	1	200			
31_S1	82.36	1	1	1	354	12.2	29	31	29	21	5	2	Dilemmas	1	200			
32_S1	66.92	1	1	1	1096	11.2	35	18	19	18	7	2	Dilemmas	1	200			
33_S1	110	1	1	1	627	12.25	34	28	24	18	7	3	Dilemmas	1	200			
34_S1	17.29	1	1	1	468	12.2166666666667	35	17	22	18	7	2	Dilemmas	1	200			
35_S1	40.41	1	1	1	339	11.2333333333333	34	18	29	18	6	2	Dilemmas	1	200			
36_S1	32.84	1	1	1	1163	12	32	34	18	11	2	3	Dilemmas	1	200			
37_S1	33.92	1	1	1	295	12	19	35	23	22	0	1	Dilemmas	1	200			
38_S1	55.96	1	1	1	583	12.2333333333333	29	9	18	10	6	3	Dilemmas	1	200			
39_S1	28.19	1	1	1	429	11.2333333333333	37	24	31	24	5	3	Dilemmas	1	200			
40_S1	14.96	1	1	1	1101	11.2666666666667	28	15	24	13	5	2	Dilemmas	1	200			
41_S1	70.24	1	1	1	520	12.2833333333333	37	16	22	16	6	2	Dilemmas	1	200			
42_S1	68.54	1	1	1	1270	12	27	26	33	32	3	2	Dilemmas	1	200			
43_S1	71.45	1	1	1	1351	12.25	28	23	23	11	1	2	Dilemmas	1	200			
44_S1	86.57	1	1	1	454	11	28	28	31	17	4	1	Dilemmas	1	200			
45_S1	40.08	1	1	1	878	10.3	31	15	24	15	3	3	Dilemmas	1	200			
46_S1	3.08	1	1	1	827	11.3333333333333	31	26	24	14	3	1	Dilemmas	1	200			
47_S1	13.99	1	1	1	487	12.3333333333333	29	39	29	26	6	2	Dilemmas	1	200			
48_S1	59.52	1	1	1	463	12.3833333333333	37	9	16	16	7	2	Dilemmas	1	200			
49_S1	26.58	1	1	1	966	12.3833333333333	23	22	17	13	3	1	Dilemmas	1	200			
50_S1	1.71	1	1	1	836	11.4	33	22	25	18	6	3	Dilemmas	1	200			
51_S1	108.2	1	1	1	1780	9.4	25	31	41	32	0	1	Dilemmas	1	200			
52_S1	15.16	1	1	1	607	12.4333333333333	28	24	22	19	6	2	Dilemmas	1	200			
53_S1	21.66	1	1	1	457	12.45	36	16	32	13	6	3	Dilemmas	1	200			
54_S1	35.82	1	1	1	417	10.45	28	22	26	16	5	3	Dilemmas	1	200			
55_S1	0	1	1	1	636	12.5	36	29	27	13	7	3	Dilemmas	1	200			
56_S1	71.98	1	1	1	507	12.05	39	9	30	10	7	3	Dilemmas	1	200			
57_S1	0	1	1	1	351	11	26	28	29	27	6	3	Dilemmas	1	200			
58_S1	61.65	1	1	1	1102	12.5166666666667	37	29	23	28	6	3	Dilemmas	1	200			
59_S1	77.98	1	1	1	703	12.5166666666667	32	21	26	12	4	0	Dilemmas	1	200			
60_S1	53.93	1	1	1	397	12.5333333333333	34	21	33	27	5	2	Dilemmas	1	200			
61_S1	32.35	1	1	1	709	12.5666666666667	31	18	33	27	6	3	Dilemmas	1	200			
62_S1	0	1	1	1	1151	12.5833333333333	40	17	24	13	6	2	Dilemmas	1	200			
63_S1	82.7	1	1	1	949	12.6166666666667	22	26	23	20	6	3	Dilemmas	1	200			
64_S1	64.26	1	1	1	438	12.6666666666667	35	20	31	19	6	2	Dilemmas	1	200			
65_S1	52.06	1	1	1	447	12.6666666666667	31	23	23	11	6	3	Dilemmas	1	200			
66_S1	85.79	1	1	1	1579	12.6666666666667	17	26	38	27	7	2	Dilemmas	1	200			
67_S1	57.24	1	1	1	811	11.7	28	10	30	19	6	3	Dilemmas	1	200			
68_S1	8.69	1	1	1	386	11.7333333333333	37	34	24	14	2	2	Dilemmas	1	200			
69_S1	78.42	1	1	1	2688	12.7333333333333	22	30	33	26	5	0	Dilemmas	1	200			
70_S1	58.09	1	1	1	628	12.7333333333333	25	21	33	23	5	2	Dilemmas	1	200			
71_S1	53.28	1	1	1	689	12.7333333333333	33	21	23	15	3	2	Dilemmas	1	200			
72_S1	110	1	1	1	599	12.7333333333333	30	41	37	18	5	3	Dilemmas	1	200			
73_S1	69.74	1	1	1	659	12.7666666666667	29	23	12	18	3	0	Dilemmas	1	200			
74_S1	77.67	1	1	1	496	9.76666666666667	31	19	20	15	5	2	Dilemmas	1	200			
75_S1	110	1	1	1	462	11.8	25	27	28	20	6	2	Dilemmas	1	200			
76_S1	65.25	1	1	1	602	12.75	36	19	32	20	6	3	Dilemmas	1	200			
77_S1	15	1	1	1	831	11.8	24	33	34	31	1	2	Dilemmas	1	200			
78_S1	14.26	1	1	1	483	9.8	22	27	28	30	2	1	Dilemmas	1	200			
79_S1	70.57	1	1	1	1427	12.8333333333333	24	27	31	25	4	1	Dilemmas	1	200			
80_S1	74.94	1	1	1	447	10	29	33	29	24	1	2	Dilemmas	1	200			
81_S1	40	1	1	1	882	12.9666666666667	24	29	28	18	3	1	Dilemmas	1	200			
82_S1	60	1	1	1	392	13	40	21	43	22	4	2	Dilemmas	1	200			
83_S1	36.63	1	1	1	452	10	32	18	21	22	6	2	Dilemmas	1	200			
84_S1	64.75	1	1	1	485	10.0333333333333	32	29	30	13	6	3	Dilemmas	1	200			
85_S1	12.69	1	1	1	534	13.0666666666667	35	17	19	19	1	3	Dilemmas	1	200			
87_S1	33.73	1	1	1	695	12.0666666666667	27	22	27	26	6	3	Dilemmas	1	200			
88_S1	51.47	1	1	1	426	10.0833333333333	25	35	31	39	4	1	Dilemmas	1	200			
89_S1	36.07	1	1	1	1023	13.1166666666667	23	21	19	11	0	1	Dilemmas	1	200			
90_S1	62.02	1	1	1	285	13	25	24	22	25	7	3	Dilemmas	1	200			
91_S1	68.18	1	1	1	1011	12.1666666666667	35	18	26	12	7	3	Dilemmas	1	200			
92_S1	25.08	1	1	1	972	12.1666666666667	32	21	19	10	7	3	Dilemmas	1	200			
