ID	Submarine_1	Trespassers_1	Hostages_1	Liferaft_1	PlaneCrash_1	PrisWar_1	Spelunkers_1	Soldier_1	Surgery_1	Footbridge_1	CryingBaby_1	rmeq1_scored	rmeq2_scored	rmeq3_scored	rmeq4_scored	rmeq5_scored	Sexe	AttentionCheck	hour_completion	group
1	7.9	8.21	8.7	7.96	0.64	9.61	2.35	7.76	0	0	0	3	2	3	3	6	1	8	8.56666666666667	8:30am-9:30am
2	3.15	3.33	3.62	5.8	0.16	6.19	3.13	3.66	0	1.83	0	3	2	4	3	4	2	8	8.65	8:30am-9:30am
3	1.42	0	0	5.1	0	3.7	5.1	5.86	0	0	0	3	4	3	3	2	2	8	8.65	8:30am-9:30am
4	10	10	0	10	5.97	7.76	7.9	10	0	0	0	3	3	4	3	4	1	8	8.66666666666667	8:30am-9:30am
5	0	0	0	7.02	0	0	0	0	0	0	0	3	2	3	3	4	1	8	8.68333333333333	8:30am-9:30am
6	1.15	9.2	0.95	0.78	0	0	9.3	9.71	0	0	0.14	4	2	3	3	2	1	8	8.68333333333333	8:30am-9:30am
7	6.69	3.31	2.84	7.78	3.56	5.08	3.72	6.17	1.4	0	5.1	3	1	3	3	2	1	8	8.7	8:30am-9:30am
8	8.34	6.3	3.48	5.66	0	2.97	6.05	10	1.35	2.21	3.04	2	2	3	3	2	2	8	8.7	8:30am-9:30am
9	0.56	0	0.67	6.21	0	3.85	6.21	1.61	0	1.49	0.98	3	1	4	3	4	2	8	8.73333333333333	8:30am-9:30am
10	8.31	1.38	3.84	8.94	0	6.51	6.4	0	0	3.02	7.57	3	2	3	3	0	1	8	8.81666666666667	8:30am-9:30am
11	3.48	6.95	7	2.65	2.74	5.53	3.93	6.98	1.15	0	1.07	3	2	3	2	2	1	8	8.85	8:30am-9:30am
12	6.75	3.46	3.52	6.38	3.13	3.05	3.02	4.01	2.94	4.03	4.61	4	3	2	1	2	1	8	8.86666666666667	8:30am-9:30am
13	8.71	5.18	1.75	10	6.76	0	7.52	0	0	1.66	7.71	5	3	4	3	6	1	8	8.91666666666667	8:30am-9:30am
14	2.61	0.91	6.67	8.62	0	7.92	2.22	6.05	0	2.57	7.57	2	1	2	3	0	1	8	8.95	8:30am-9:30am
